,ID,NAME,ISO,Year,COORDS,BASIN,SUBBASIN,NATURE,ISO_TIME,TOTAL_HRS,DAY_HRS,NIGHT_HRS,USA_SSHS,PRES_CALC_mean,STORM_SPD_mean,STORM_DR_mean,v_land_kn,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets,Total damage ('000$),CPI,"Air transport, freight (million ton-km)",Arable land (hectares per person),Cereal yield (kg per hectare),Food production index (2004-2006 = 100),GDP growth (annual %),GDP per capita (constant 2010 US$),Net flows from UN agencies US$,"Life expectancy at birth, total (years)",Mobile cellular subscriptions (per 100 people),Population density (people per sq. km of land area),Adjusted savings: education expenditure (% of GNI),Rural population (% of total population),Income_level_Final,Total Affected,pop_max_34,pop_max_50,pop_max_64,Numeric
0,1,DELLA,JPN,1949,"[[31.99, 130.68], [33.52, 130.97], [41.0, 140.5], [41.21, 141.38]]",WP,WP,ET,"['1949-06-20 15:00:00', '1949-06-20 18:00:00', '1949-06-23 00:00:00', '1949-06-23 03:00:00']",12,0,12,-1,986.375,21.5,40.5,99.82,,,,,,,,9.327572492,,0.059614716,4173.5,67.79,,8607.657082,0.0,67.66609756,,258.9119171,2.8678781000000004,36.728,Low,194046,28230086.0,4378623.5,732154.8125,392.0
1,2,JANE,JPN,1950,"[[34.94, 135.48], [36.1, 136.09], [37.27, 136.95], [43.29, 143.07]]",WP,WP,TS,"['1950-09-03 03:00:00', '1950-09-03 06:00:00', '1950-09-03 09:00:00', '1950-09-04 00:00:00']",21,0,21,0,973.5,27.0,31.5,99.82,,,,,,,,9.431936939,,0.059614716,4173.5,67.79,,8607.657082,0.0,67.66609756,,258.9119171,2.8678781000000004,36.728,Low,642117,62071952.0,14551006.0,4093306.5,392.0
2,3,CHARLIE,JAM,1951,"[[17.9, -76.9], [18.1, -77.8]]",NAm,NAm,TS,"['1951-08-18 03:00:00', '1951-08-18 06:00:00']",3,0,3,2,974.5,16.5,284.5,132.4,2788659.0,21481978182.0,2788659.0,21481978182.0,2552903.0,19483462361.0,56000.0,10.17553363,,0.10054067900000001,868.3,69.93,,3796.219401,0.0,64.77,,152.45364730000003,2.5783036,66.23100000000001,Low,20200,2753687.5,2606976.5,1067878.5,388.0
3,4,AMY,PHL,1951,"[[10.73, 124.8], [10.53, 123.17], [10.68, 119.45]]",WP,WP,TS,"['1951-12-09 12:00:00', '1951-12-09 21:00:00', '1951-12-11 00:00:00']",12,0,12,2,961.3333332999997,9.0,270.6666667,119.2,20464826.0,188000000000.0,12675908.0,113000000000.0,5618193.0,48973327246.0,,10.17553363,,0.18044223399999998,996.3,25.68,,1059.467412,0.0,61.105,,91.06500034,2.757732,69.703,Low_Middle,60000,22283760.0,8444818.0,1750716.375,608.0
4,5,EMMA,PHL,1952,"[[10.47, 123.87], [10.65, 123.24], [10.83, 122.65], [11.02, 122.12]]",WP,WP,TS,"['1952-07-02 12:00:00', '1952-07-02 15:00:00', '1952-07-02 18:00:00', '1952-07-02 21:00:00']",9,8,1,0,983.5,12.25,288.5,110.691,,,,,,,,10.41035363,,0.18044223399999998,996.3,25.68,,1059.467412,0.0,61.105,,91.06500034,2.757732,69.703,Low_Middle,103,36709264.0,7952954.5,4470182.5,608.0
5,6,HAZEL,HTI,1954,"[[18.3, -74.2], [18.6, -74.0], [19.6, -73.4], [19.84, -73.23]]",NAm,NAm,TS,"['1954-10-12 09:00:00', '1954-10-12 12:00:00', '1954-10-13 00:00:00', '1954-10-13 03:00:00']",18,0,18,2,974.25,6.5,29.5,117.0,10396164.0,21676775751.0,3570247.0,7214209939.0,1234448.0,2202891517.0,,10.52776364,,0.228313746,1031.0,63.29,,993.2466562999999,0.0,41.762,,143.03134980000004,1.2844421999999998,84.40700000000002,Low_Middle,250000,9843221.0,1411191.625,595484.6875,332.0
6,7,HILDA,MEX,1955,"[[19.7, -87.7], [19.75, -87.87], [19.9, -88.4], [20.05, -88.86], [20.2, -89.3], [20.35, -89.75], [20.5, -90.2], [22.3, -97.9], [22.3, -98.1], [22.27, -98.54], [22.2, -98.8], [22.11, -98.97], [22.0, -99.1], [21.9, -99.28]]",NAm,NAm,TS,"['1955-09-16 14:00:00', '1955-09-16 15:00:00', '1955-09-16 18:00:00', '1955-09-16 21:00:00', '1955-09-17 00:00:00', '1955-09-17 03:00:00', '1955-09-17 06:00:00', '1955-09-19 11:00:00', '1955-09-19 12:00:00', '1955-09-19 15:00:00', '1955-09-19 18:00:00', '1955-09-19 21:00:00', '1955-09-20 00:00:00', '1955-09-20 03:00:00']",13,0,13,0,968.8888889,7.642857143,270.42857139999995,119.1,8356553.0,132000000000.0,3436347.0,51707772746.0,1092040.0,13485104502.0,,10.47300041,,0.500615202,1104.9,23.69,,3907.4938009999996,0.0,57.077,,20.04478304,3.0032392000000003,49.247,Low,11432,27203072.0,1973763.0,1474285.0,484.0
7,8,VERA,JPN,1959,"[[33.63, 135.69], [35.2, 136.47], [36.89, 137.56], [39.7, 140.3]]",WP,WP,TS,"['1959-09-26 09:00:00', '1959-09-26 12:00:00', '1959-09-26 15:00:00', '1959-09-26 21:00:00']",12,11,1,-1,945.1666667000003,34.25,30.25,155.3,59148872.0,7240000000000.0,37883958.0,4480000000000.0,11097297.0,1370000000000.0,600000.0,11.40197989,,0.059614716,4173.5,67.79,,8607.657082,0.0,67.66609756,,258.9119171,2.8678781000000004,36.728,Low,1500000,80828600.0,6812950.0,1247276.75,392.0
8,9,OLIVE,PHL,1960,"[[13.57, 124.17], [13.73, 123.61], [13.9, 123.1], [14.06, 122.72], [14.2, 122.41], [14.65, 121.56], [14.85, 121.27], [15.07, 120.96], [15.3, 120.62], [15.51, 120.22]]",WP,WP,TS,"['1960-06-25 18:00:00', '1960-06-25 21:00:00', '1960-06-26 00:00:00', '1960-06-26 03:00:00', '1960-06-26 06:00:00', '1960-06-26 15:00:00', '1960-06-26 18:00:00', '1960-06-26 21:00:00', '1960-06-27 00:00:00', '1960-06-27 03:00:00']",9,0,9,0,968.1,8.3,297.0,131.2,53758818.0,489000000000.0,13260395.0,141000000000.0,2753569.0,22355219334.0,,11.56821608,,0.18044223399999998,996.3,25.68,,1059.467412,0.0,61.105,0.0,91.06500034,2.757732,69.703,Low_Middle,50000,54641828.0,28770226.0,8354355.5,608.0
9,10,KIT,PHL,1960,"[[12.86, 124.04], [12.9, 123.63], [13.13, 121.41], [13.21, 121.0], [13.28, 120.59]]",WP,WP,TS,"['1960-10-06 09:00:00', '1960-10-06 12:00:00', '1960-10-07 03:00:00', '1960-10-07 06:00:00', '1960-10-07 09:00:00']",0,0,0,-1,972.8,8.0,279.2,107.7,46670682.0,405000000000.0,10148577.0,104000000000.0,1954058.0,14156660526.0,,11.56821608,,0.18044223399999998,996.3,25.68,,1059.467412,0.0,61.105,0.0,91.06500034,2.757732,69.703,Low_Middle,375000,56050676.0,3270401.0,1389018.0,608.0
10,11,CARMEN,PHL,1963,"[[13.73, 124.31], [15.92, 121.6], [16.2, 121.01], [16.46, 120.39]]",WP,WP,TS,"['1963-08-13 00:00:00', '1963-08-13 21:00:00', '1963-08-14 00:00:00', '1963-08-14 03:00:00']",3,0,3,2,968.8125,11.75,300.75,133.5,51026948.0,439000000000.0,12321195.0,131000000000.0,2140975.0,24604616102.0,,11.97891616,,0.16751328099999999,1030.2,28.57,7.060487423,1136.494797,0.0,62.16,0.0,97.27293301,2.757732,68.923,Low_Middle,2000,55182820.0,4103970.0,1316759.75,608.0
