#/Date,Time,Latitude,Longitude,"Max Winds
(kt)","SS
HWS","RMW
nm","Central
Pressure
(mb)","OCI
(mb)","Size
(nm)","States
Affected","Storm
Names",Damage,Death
1-6/25/1851$,2100Z,28.2N,96.8W,80,1,---,-974,----,---,BTX1,---------------,,
4-8/23/1851$,2100Z,30.1N,85.7W,100,3,---,-950,----,---,"AFL3,IGA1","""Great Middle Florida""",,
1-8/22/1852$,1200Z,23.8N,81.1W,90,2,---,-970,----,---,BFL2,---------------,,
1-8/26/1852,0600Z,30.2N,88.6W,100,3,10,961,----,---,"AL3,MS3,LA2,AFL1","""Great Mobile""",,
3-9/12/1852$,0000Z,28.0N,82.8W,70,1,---,-982,----,---,BFL1,---------------,,
5-10/9/1852$,2100Z,29.9N,84.4W,90,2,---,-965,----,---,"AFL2,IGA1","""Middle Florida""",,
8-10/21/1853*,0600Z,30.9N,80.9W,70,1,---,-965,----,---,GA1,---------------,,
1-6/26/1854$,1200Z,26.2N,97.0W,70,1,---,-982,----,---,ATX1,---------------,,
3-9/8/1854,2000Z,31.7N,81.1W,100,3,40,950,----,---,"GA3,SC2,DFL1","""Great Carolina""",,
4-9/18/1854,2100Z,28.9N,95.3W,90,2,---,-965,----,---,BTX2,"""Matagorda""",,
6-9/16/1855$,0300Z,29.2N,89.5W,110,3,---,-945,----,---,"LA3,MS3","""Middle Gulf Shore""",,
1-8/10/1856$,1800Z,29.2N,91.1W,130,4,10,934,----,---,LA4,"""Last Island""",,
5-8/31/1856$,0600Z,30.2N,85.9W,90,2,---,-965,----,---,"AFL2,IAL1,IGA1","""Southeastern States""",,
2-9/13/1857,0000Z,33.9N,78.0W,90,2,---,961,----,---,NC2,---------------,,
3-9/16/1858,1700Z,40.9N,72.2W,80,1,45,-976,----,---,NY1,"""New England""",,
3-9/16/1858,1800Z,41.4N,72.0W,70,1,45,979,----,---,"CT1,RI1,MA1","""New England""",,
5-9/16/1859,0000Z,30.3N,88.1W,70,1,---,-982,----,---,"AL1,AFL1",---------------,,
8-10/28/1859$,1800Z,27.7N,82.8W,80,1,---,-974,----,---,"BFL2,CFL1",---------------,,
1-8/11/1860$,2000Z,29.2N,90.0W,110,3,---,-945,----,---,"LA3,MS3,AL2",---------------,,
4-9/15/1860$,0400Z,29.3N,89.6W,90,2,---,-965,----,---,"LA2,MS2,AL1",---------------,,
6-10/2/1860$,1700Z,29.5N,91.4W,90,2,---,-965,----,---,LA2,---------------,,
2-8/16/1861$*,0000Z,24.2N,82.0W,70,1,---,-978,----,---,BFL1,"""Key West""",,
5-9/27/1861,1700Z,34.5N,77.4W,70,1,---,-985,----,---,NC1,"""Equinoctial""",,
8-11/2/1861,1000Z,34.7N,76.6W,70,1,---,-985,----,---,NC1,"""Expedition""",,
4-9/13/1865$,2100Z,29.8N,93.4W,90,2,---,-965,----,---,"LA2,CTX1","""Sabine River""",,
7-10/23/1865$,1000Z,24.6N,81.7W,90,2,---,-969,----,---,BFL2,---------------,,
7-10/23/1865$,1400Z,25.4N,81.1W,90,2,---,-969,----,---,"BFL2,CFL1",---------------,,
1-7/15/1866,1200Z,28.5N,96.5W,90,2,---,-965,----,---,BTX2,---------------,,
1-6/22/1867,1400Z,32.9N,79.7W,70,1,---,-985,----,---,SC1,---------------,,
7-10/2/1867$#,1500Z,25.4N,97.1W,70,1,---,-969,----,---,ATX1,"""Galveston""",,
7-10/4/1867$,1500Z,29.2N,91.0W,90,2,---,-965,----,---,"LA2,CTX1",---------------,,
7-10/6/1867$,1500Z,29.6N,83.4W,70,1,---,-982,----,---,AFL1,---------------,,
2-8/17/1869,0700Z,28.1N,96.8W,90,2,---,-965,----,---,BTX2,"""Lower Texas Coast""",,
5-9/5/1869$,1200Z,29.2N,90.0W,70,1,---,-982,----,---,LA1,---------------,,
6-9/8/1869&,2100Z,41.0N,71.9W,80,1,30,963,----,---,NY1,"""Eastern New England""",,
6-9/8/1869,2200Z,41.4N,71.7W,100,3,30,965,----,---,"RI3,MA3,CT1","""Eastern New England""",,
10-10/4/1869&,1900Z,41.3N,70.5W,80,1,30,-965,----,---,MA1,"""Saxby's Gale""",,
10-10/4/1869&,2000Z,41.7N,70.4W,80,1,30,-965,----,---,MA1,"""Saxby's Gale""",,
10-10/4/1869,2300Z,43.7N,70.1W,90,2,30,-968,----,---,ME2,"""Saxby's Gale""",,
1-7/30/1870,1800Z,30.5N,88.0W,70,1,---,-982,----,---,AL1,"""Mobile""",,
6-10/10/1870$*,0500Z,24.6N,80.8W,70,1,---,-970,----,---,"BFL1,CFL1","""Twin Key West (I)""",,
9-10/20/1870$,1400Z,24.7N,82.8W,80,1,---,-977,----,---,BFL1,"""Twin Key West (II)""",,
9-10/20/1870$,2000Z,26.0N,81.6W,80,1,---,-977,----,---,BFL1,---------------,,
3-8/17/1871$,0200Z,27.1N,80.2W,100,3,30,955,1016,---,"CFL3,DFL1,AFL1",---------------,,
4-8/25/1871$,0500Z,27.6N,80.3W,90,2,---,-965,----,---,"CFL2,DFL1",---------------,,
6-9/6/1871$,1400Z,29.2N,83.0W,70,1,---,-982,----,---,"AFL1,BFL1",---------------,,
