Year;Country Code;Country Name;Air transport, freight (million ton-km);Arable land (hectares per person);Cereal yield (kg per hectare);Food production index (2004-2006 = 100);GDP growth (annual %);GDP per capita (constant 2010 US$);Net flows from UN agencies US$;Life expectancy at birth, total (years);Mobile cellular subscriptions (per 100 people);Population density (people per sq. km of land area);Adjusted savings: education expenditure (% of GNI);Rural population (% of total population)
1960;ARE;United Arab Emirates;;0.049605143;1166.7;4.07;16.52685651;103604.9068;0;51.537;0.20003331;1.41926218;;26.5
1961;ARE;United Arab Emirates;;0.049605143;1166.7;4.07;16.52685651;103604.9068;0;52.56;0.20003331;1.41926218;;25.617
1962;ARE;United Arab Emirates;;0.044595872;1166.7;4.13;16.52685651;103604.9068;0;53.573;0.20003331;1.578682061;;24.752
1963;ARE;United Arab Emirates;;0.039958443;1166.7;4.26;16.52685651;103604.9068;0;54.572;0.20003331;1.761898057;;23.907
1964;ARE;United Arab Emirates;;0.036221648;1166.7;4.41;16.52685651;103604.9068;0;55.555;0.20003331;1.943663757;;23.081
1965;ARE;United Arab Emirates;;0.033365141;1166.7;4.51;16.52685651;103604.9068;0;56.523;0.20003331;2.110067587;;22.277
1966;ARE;United Arab Emirates;;0.037505626;1166.7;4.64;16.52685651;103604.9068;0;57.482;0.20003331;2.252548578;;21.492
1967;ARE;United Arab Emirates;;0.035341725;1166.7;4.79;16.52685651;103604.9068;0;58.432;0.20003331;2.390467474;;20.728
1968;ARE;United Arab Emirates;;0.03285385;1166.7;4.99;16.52685651;103604.9068;0;59.375;0.20003331;2.571486905;;20.2
1969;ARE;United Arab Emirates;;0.029541225;1166.7;5.29;16.52685651;103604.9068;19999.99955;60.304;0.20003331;2.859842298;;20.2
1970;ARE;United Arab Emirates;;0.029848964;1166.7;5.68;16.52685651;103604.9068;9999.999776;61.215;0.20003331;3.30208392;;20.2
1971;ARE;United Arab Emirates;;0.025227862;1166.7;6.02;16.52685651;103604.9068;9999.999776;62.099;0.20003331;3.906941707;;20.2
1972;ARE;United Arab Emirates;;0.021149698;1166.7;5.84;16.52685651;103604.9068;9999.999776;62.949;0.20003331;4.660292875;;20.2
1973;ARE;United Arab Emirates;;0.020272462;1166.7;6.68;16.52685651;103604.9068;160000.0002;63.759;0.20003331;5.55651929;;20.2
