ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,1004
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,816
Access to electricity (% of population),EG.ELC.ACCS.ZS,657
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,657
"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,657
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,994
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,994
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,994
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,994
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,995
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,994
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,995
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,994
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,994
Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,1014
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,1012
Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,1015
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,1020
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,707
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,797
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,797
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,699
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,688
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,570
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,699
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,688
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,570
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,699
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,699
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,775
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,775
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,432
Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,252
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,469
Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,445
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,252
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,425
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,461
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,288
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,661
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,425
Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,204
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,549
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,521
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,394
Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,661
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,661
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,745
Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,727
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,92
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,824
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,848
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,848
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,846
Adults (ages 15+) newly infected with HIV,SH.HIV.INCD,846
Age dependency ratio (% of working-age population),SP.POP.DPND,76
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,76
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,76
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,962
Agricultural land (% of land area),AG.LND.AGRI.ZS,124
Agricultural land (sq. km),AG.LND.AGRI.K2,124
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,546
"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,546
Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,357
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,340
Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,357
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,340
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,400
Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,391
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,527
"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,555
"Agriculture, forestry, and fishing, value added (constant 2010 US$)",NV.AGR.TOTL.KD,543
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,543
